Field_1|Field_2|Field3|Topic|Family|pk|DOC|Author|Availability|AvailableDate|Binding|Cover|CrossReference|Description|ExtraDescription|Format|ISBN|ISSN|KeyPhrases|ListID|Note|Price|PriceNonUS|Publisher|QuantityPrice|StandingOrderCode|StatusDate|StockNumber|Subject Bibliography|SuDocsClass|Title|Unit|UnitNonUS|Weight|YearPages|Hyperlink
||||||govtprintingoffice||1. in stock / whse and/or retail / price|||||Labor Statistics Bureau Bulletin 2701. Provides information from an industry perspective for persons making career decisions.|||1-59804-555-5|||||52.00|||||06-20-10|1-59804-555-5|||Career Guide to Industries, 2010-11|||2.06||
NEW PP|||||1-59804-148-7.jpg|PROVPRESS|Winston De Ville|Available at Claitors||||||||1-59804-148-7|||||13.50||||||1-59804-148-7|||Opelousas Post: The Census of 1771|||1.00||
treatis lalaw|||50|27|LAprac1.jpg||Frank Maraist|Available at Claitors||||||||LACI19|||||506.00||||||LACI19|||LA Evidence and Proof (Civil Law Treatise Series) Vol. 19, 2nd edition|||3.00||
NEW PP|||||1-59804-540-7.jpg|PROVPRESS|WINSTON DE VILLE|Available at Claitors||||||||1-59804-171-1|||||28.50||||||1-59804-171-1|||MISSISSIPPI VALLEY MELANGE VOLUME SEVEN (7)|||1.00||
||||||||Available at Claitors||||||||869-076-00001-5|||||11.00||||||869-076-00001-5|||Code of Federal Regulation Title 1, 2012|||2.00||
||||||||Available at Claitors||||||||869-076-00002-3|||||8.00||||||869-076-00002-3|||Code of Federal Regulation Title 2, 2012|||2.00||
||||||||Available at Claitors||||||||869-076-00004-0|||||13.00||||||869-076-00004-0|||Code of Federal Regulation Title 4, 2012|||2.00||
||||||||Available at Claitors||||||||869-076-00006-6|||||56.00||||||869-076-00006-6|||Code of Federal Regulation Title 5 Parts 700-1199, 2012|||2.00||
||||||||Available at Claitors||||||||869-076-00008-2|||||13.50||||||869-076-00008-2|||Code of Federal Regulation Title 6, 2012|||2.00||
||||||||Available at Claitors||||||||869-076-00009-1|||||50.00||||||869-076-00009-1|||Code of Federal Regulation Title 7 Parts 1-26, 2012|||2.00||
||||||||Available at Claitors||||||||869-076-00010-4|||||55.00||||||869-076-00010-4|||Code of Federal Regulation Title 7 Parts 27-52, 2012|||2.00||
||||||govtprintingoffice|MacEachin, Douglas J.|0. out of print GPO|05-30-01|perfect binding|paper||Details the story of the 1980-81 Polish crisis. Describes the events, the assessment of these events by intelligence analysts and policymakers, and the United States policy process. Contains copyright material. Previously listed incorrectly under ISBN 0-1|||1-929667-06-X||Polish Crisis, 1980 to 1981, Poland, Revolutions, Civil Disobedience, Politics and Government, Cold War, Intelligence Services, Intelligence Activities||NB1284|17.00||Central Intelligence Agency, Center for the Study of Intelligence|discount||3/16/2004|041-015-00214-7|075VC 289TI||United States Intelligence and the Polish Crisis, 1980-1981|each||1.00|2001: 223 p.; ill.|
||||||govtprintingoffice||0. out of print GPO||||||||||Cancelled Stock Number||This publication was mistakenly assiigned two different stock numbers. All orders should be filled under S/N 008-000-00762-4.|0.00||Defense Dept., National Imagery and Mapping Agency|discount||5/4/2001|008-000-00827-2|900||World Port Index, February 29, 2000|each||2.00||
||||||govtprintingoffice||0. superseded|02-21-01|perfect binding|paper|008-000-00874-4|NIMA Pub 154. 7th Edition. Corrected to 25 July 1998, including Notice to Mariners No. 30 of 1998. Covers the harbors, coasts, and waters of British Columbia. Provides information that cannot be shown graphically on nautical charts and is not readily avai|||0-16-061565-8||National Imagery and Mapping Agency Publication 154, NSN 7642014009031, British Columbia, Canada, Pacific Ocean, Maps, Ships, Sailing, Geography||NB1283|39.00||Defense Dept., National Imagery and Mapping Agency|discount||3/26/2002|008-000-00828-1|029PN 060HS 287MT|D 5.317/3:154/998|Sailing Directions (Enroute): British Columbia, 1998|each||1.93|1998: 308 p.; ill.|
||||||govtprintingoffice||0. out of print GPO||||||||||Canceled Stock Number||This publication was assigned two stock numbers in error. All orders should be filled under S/N 008-000-00765-9.|0.00||Defense Dept., National Imagery and Mapping Agency|discount||5/4/2001|008-000-00829-9|900||Summary of Corrections, February 2000|each||2.00||
||||||govtprintingoffice||0. out of print GPO|03-27-00|perfect binding|paper||2000 North American Emergency Response Guidebook, a Guidebook for First Responders During the Initial Phase of a Hazardous Materials/Dangerous Goods Incident. Publication measures 5 x 8 in. Contains guides describing potential hazards of various types of|||0-16-050173-3||Transportation of Hazardous Substances, North American Emergency Response Guidebook, Hazardous Substances, Emergency Management||Supersedes S/N 050-000-00561-5. NB1277|20.00||Transportation Dept., Research and Special Programs Administration|discount||5/20/2004|050-000-00575-5|040DS|TD 10.8:EM 3/2/2000|Emergency Response Guidebook, 2000: A Guidebook for First Responders During the Initial Phase of a Dangerous Goods/Hazardous Materials Incident|each||0.87|2000: 384 p.; ill.|
||||||govtprintingoffice||0. out of print GPO|01-06-00|perfect binding|paper||BTS99-03. 6th annual report. Editor: Marsha Fenn. Provides a summary of the state of the nation's transportation systems and the state of transportation statistics.|||0-16-050229-2||BTS99 03, Transportation Statistics, Railroads, Motor Vehicles, Roads and Highways, Airlines, Transportation||NB1276|22.00||Transportation Dept., Bureau of Transportation Statistics|discount||3/4/2002|050-000-00576-3|900|TD 12.1:999|Transportation Statistics Annual Report, 1999|each||1.25|1999: 190 p. and map.; ill.|
||||||govtprintingoffice|Spires, David N.|0. out of print GPO|01-21-99|perfect binding|paper||Tells the story of the origins and development of the United States Air Force's space program from its earliest beginnings in the post Second World War period to its emergence as a critical operational presence in the Persian Gulf War. Item 0424.|||0-16-061380-9||Half Century of Air Force Space Leadership, Space Exploration, Air Force History, Military Space Program, Military History||NB1270|30.00||Defense Dept., Air Force, Air Force Space Command and Air University|discount||7/30/2003|008-070-00740-1|098LQ 297BD|D 301.2:H 78/998|Beyond Horizons: A Half Century of Air Force Space Leadership|each||1.93|1998: 407 p.; ill. revised ed.|
||||||govtprintingoffice||0. out of print GPO|04-17-01|paper cover / stitch|paper||DHHS Publication HCFA-02110. 2001 Guide to Health Insurance for People With Medicare. Gives basic and detailed information about Medigap policies. Item 0512-A-03.|||0-16-061677-8||HCFA 02110, Medigap Policy, Health Insurance, Medicare||NB1283|10.00||Health and Human Services Dept., Health Care Financing Administration|discount||9/10/2003|017-060-00629-3|039JE 114BL 165CN 29||Guide to Health Insurance for People With Medicare, 2001|each||0.43|2001: 81 p.; ill. Revised edition.|
||||||govtprintingoffice||0. superseded|05-31-01|paper cover / stitch|paper|021-600-00069-5|Edition 260. Lists and describes titles that are sold on subscription by the United States Government Printing Office, Superintendent of Documents. Includes indexes, ordering information, and order forms.|||||||Supersedes GP 3.9:259, S/N 021-600-00067-9. Superseded by S/N 021-600-00069-5.|0.00||Government Printing Office, Superintendent of Documents, Sales Management Division, Bibliographic Systems Branch|||9/5/2001|021-600-00068-7|925||United States Government Subscriptions Catalog, Summer 2001 Edition|each||2.00||
lacode lalaw new|||||04CRIMCODE.jpg|||Available at Claitors|||||Contains the complete text of Article I of the Louisiana Constitution, the Declaration of Rights, Revised Statutes Title 14 (Criminal Law), Revised Statutes Title 15 (Criminal Procedure), and the Code of Criminal Procedure. Includes criminal provisions re|||0-314-92239-3||||SALE ITEMS ARE NON RETURNABLE|175.00||||||LAST12|||LA Handbook of Statutory Criminal Law and Procedure, 2012 ed. (Westgroup) (SALE)  - NON RETURNABLE|||3.50||
lacode lalaw||||||||Available at Claitors|||||Contains complete text of Civil Code and Title 9 of Revised Statutes, both as revised and amended by the Legislature.|||0-314-25778-0||||Prepublication price expires when the publication is released from the publisher.|214.00||||||YLAC12|||LA Civil Code 2012, 2 Volumes (West Group)|||5.72||
lacode lalaw||||||||Available at Claitors|||||Edited by a renowned authority, this compact Code is your ideal companion for quick answers when annotations are not immediately required. Includes commentary on 1996 Tort Revision, Res Judicata, Collateral Estoppel, and Divorce; Table of Time Delays for|||0-314-92244-X||||Prepublication price expires upon release of publication by publisher.|189.00||||||CLAC12|||LA Code of Civil Procedure, 2012 (West Group)|||3.00||
||||||govtprintingoffice||0. superseded|07-02-01|paper cover / stitch|paper|017-070-00494-6|SSA Publication 13-11785. Explains how Social Security works, what it does, and whom it helps. Answers the most frequently asked questions about Old-Age, Survivors, and Disability Insurance (OASDI) beneficiaries and Supplemental Security Income (SSI) reci|||0-16-050826-6||||Supersedes S/N 017-070-00488-1. Superseded by S/N 017-070-00494-6. NB1285|4.00||Social Security Administration, Office of Policy, Office of Research, Evaluation, and Statistics|discount||10/25/2002|017-070-00491-1|165CC||Fast Facts & Figures About Social Security, June 2001|each||0.25|2001: 35 p.; ill.|
||||||govtprintingoffice||0. out of print GPO|06-12-90|specialty item|||HUD-93102 (05-90). Includes an application followed by instructions. Sold in packages of 100 copies only. Item 582-W.||sheet(s)|0-16-023067-5||HUD 93102, Government Paperwork, Housing, Mortgages||NB1218|13.00||HUD, Office of Housing, Federal Housing Commissioner|discount||1/24/2002|023-000-00771-1|900|HH 1.103:HUD-93102(5-90)|Mortgagee's Certification and Application for Assistance or Interest Reduction Payments, Form HUD-93102|package||1.06|1990: 2 p.|
||||||govtprintingoffice||0. out of print GPO|04-22-99|perfect binding|paper|||||||Death and Dying, Mortality|||27.00||Health and Human Services Dept.|discount||6/27/2000|017-022-01366-5|102AL 121AB||Atlas of United States Mortality|each||2.37|218 p.|
||||||govtprintingoffice|Cline, Ray S.|0. out of print GPO||casebound|cloth||CMH Pub 1-2. This history of the War Department's principal staff agency describes the way the members of the Operations Division worked together, defined their responsibilities, and carried out their common aims. L.C. card 51-61201. Item 345. t|||0-16-001900-1||Center of Military History Publication 1 2, World War 2, War Department, Washington Command Post, Operations Division, Army History, Military History, Army in World War 2, Operations Division||Apr. 1982 SL 75R2|23.00||Defense Dept., Army, Office of the Chief of Military History|discount||12/17/2003|008-029-00054-7|070LE|D 114.7:W 19/v.2|United States Army in World War 2, War Department, Washington Command Post, The Operations Division|each||4.68|1951: 413 p.; ill., 4 plates.|
||||||||Available at Claitors||||||||869-076-00011-2|||||42.00||||||869-076-00011-2|||Code of Federal Regulation Title 7 Parts 53-209, 2012|||2.00||
||||||||Available at Claitors||||||||869-076-00012-1|||||68.00||||||869-076-00012-1|||Code of Federal Regulation Title 7 Parts 210-299, 2012|||2.00||
||||||||Available at Claitors||||||||869-076-00013-9|||||52.00||||||869-076-00013-9|||Code of Federal Regulation Title 7 Parts 300-399, 2012|||2.00||
||||||||Available at Claitors||||||||869-076-00014-7|||||47.00||||||869-076-00014-7|||Code of Federal Regulation Title 7 Parts 400-699, 2012|||2.00||
||||||||Available at Claitors||||||||869-076-00017-1|||||26.00||||||869-076-00017-1|||Code of Federal Regulation Title 7 Parts 1000-1199, 2012|||2.00||
||||||||Available at Claitors||||||||869-076-00018-0|||||67.00||||||869-076-00018-0|||Code of Federal Regulation Title 7 Parts 1200-1599, 2012|||2.00||
||||||||Available at Claitors||||||||869-076-00019-8|||||70.00||||||869-076-00019-8|||Code of Federal Regulation Title 7 Parts 1600-1759, 2012|||2.00||
||||||||Available at Claitors||||||||869-076-00020-1|||||36.00||||||869-076-00020-1|||Code of Federal Regulation Title 7 Parts 1760-1939, 2012|||2.00||
||||||||Available at Claitors||||||||869-076-00021-0|||||56.00||||||869-076-00021-0|||Code of Federal Regulation Title 7 Parts 1940-1949, 2012|||2.00||
||||||||Available at Claitors||||||||869-076-00022-8|||||52.00||||||869-076-00022-8|||Code of Federal Regulation Title 7 Parts 1950-1999, 2012|||2.00||
||||||||Available at Claitors||||||||869-076-00026-1|||||64.00||||||869-076-00026-1|||Code of Federal Regulation Title 9 Parts 200-END, 2012|||2.00||
||||||||Available at Claitors||||||||869-076-00027-9|||||67.00||||||869-076-00027-9|||Code of Federal Regulation Title 10 Parts 1-50, 2012|||2.00||
||||||||Available at Claitors||||||||869-076-00028-7|||||64.00||||||869-076-00028-7|||Code of Federal Regulation Title 10 Parts 51-199, 2012|||2.00||
||||||||Available at Claitors||||||||869-076-00029-5|||||52.00||||||869-076-00029-5|||Code of Federal Regulation Title 10 Parts 200-499, 2012|||2.00||
||||||||Available at Claitors||||||||869-076-00030-9|||||68.00||||||869-076-00030-9|||Code of Federal Regulation Title 10 Parts 500-END, 2012|||2.00||
||||||||Available at Claitors||||||||869-076-00031-7|||||46.00||||||869-076-00031-7|||Code of Federal Regulation Title 11, 2012|||2.00||
||||||||Available at Claitors||||||||869-076-00033-3|||||42.00||||||869-076-00033-3|||Code of Federal Regulation Title 12 Parts 200-219, 2012|||2.00||
||||||||Available at Claitors||||||||869-076-00036-8|||||53.00||||||869-076-00036-8|||Code of Federal Regulation Title 12 Parts 300-499, 2012|||2.00||
||||||||Available at Claitors||||||||869-076-00037-6|||||44.00||||||869-076-00037-6|||Code of Federal Regulation Title 12 Parts 500-599, 2012|||2.00||
newrel|||||9781598046694.jpg|govtprintingoffice||Available at Claitors|09-14-00|perfect binding|paper||Updates the Manual for Courts- Martial (MCM), United States (2008 Edition). Contains a complete reprinting. Incorporates the MCM (2012 Edition); the amendment to Article 19 of the Uniform Code of Military Justice (UCMJ)|individual mailing box||1-59804-669-1||PIN 030567 000, Courts Martial Manual, Uniform Code of Military Justice, Rules for Courts Martial, Military Law||NB1280|62.00|81.25|Defense Dept., Joint Service Committee on Military Justice|discount||08/30/12|9781598046694|131EB||Manual for Courts-Martial, United States (2012 Edition)|each|each|2.68|2000: 868 p. revised ed.|
